,Player,HOF Probability,Inducted
348,B.J. Surhoff,1.6%,No
349,Chris Speier,1.6%,No
350,Buddy Lewis,1.6%,No
351,Joe Adcock,1.5%,No
352,Dave Henderson,1.5%,No
353,Frank White,1.5%,No
354,Harvey Kuenn,1.5%,No
355,Randy Winn,1.5%,No
356,Rick Monday,1.5%,No
357,Luis Castillo,1.5%,No
358,Melvin Mora,1.5%,No
359,Jim Piersall,1.4%,No
360,Kevin McReynolds,1.4%,No
361,Orlando Hudson,1.4%,No
362,Gene Woodling,1.4%,No
363,Jermaine Dye,1.4%,No
364,Larry Bowa,1.4%,No
365,Marty Marion,1.4%,No
366,Leo Cárdenas,1.4%,No
367,Smoky Burgess,1.4%,No
368,Tino Martinez,1.4%,No
369,Sherm Lollar,1.4%,No
370,Cliff Floyd,1.4%,No
371,Greg Luzinski,1.4%,No
372,Bob Boone,1.4%,No
373,Roy Sievers,1.4%,No
374,J.J. Hardy,1.4%,No
375,Earl Torgeson,1.3%,No
376,Bob Watson,1.3%,No
377,Tony González,1.3%,No
378,Richie Hebner,1.3%,No
379,Bob Bailey,1.3%,No
380,Lee May,1.3%,No
381,Rubén Sierra,1.3%,No
382,Frank McCormick,1.3%,No
383,Martín Prado,1.3%,No
384,Walker Cooper,1.3%,No
385,Jackie Jensen,1.3%,No
386,Carlos Guillén,1.3%,No
387,Coco Crisp,1.2%,No
388,César Tovar,1.2%,No
389,Orlando Cabrera,1.2%,No
390,Kevin Seitzer,1.2%,No
391,Mike Lowell,1.2%,No
392,Justin Morneau,1.2%,No
393,Tim McCarver,1.2%,No
394,Terry Steinbach,1.2%,No
395,Benito Santiago,1.1%,No
396,Wally Moon,1.1%,No
397,Denard Span,1.1%,No
398,Bobby Ávila,1.1%,No
399,Phil Garner,1.1%,No
400,Raúl Ibañez,1.1%,No
401,Hank Bauer,1.1%,No
402,Mike Hargrove,1.1%,No
403,Tommy Harper,1.1%,No
404,Mark Kotsay,1.1%,No
405,Yunel Escobar,1.0%,No
406,Bill Russell,1.0%,No
407,Steve Sax,1.0%,No
408,Denis Menke,1.0%,No
409,A.J. Pierzynski,1.0%,No
410,Ben Oglivie,1.0%,No
411,Adam Dunn,1.0%,No
412,Mark Ellis,1.0%,No
413,Vinny Castilla,1.0%,No
414,Carlos Peña,1.0%,No
415,Willie Horton,1.0%,No
416,John Mayberry,1.0%,No
417,Ryan Klesko,1.0%,No
418,Howard Johnson,1.0%,No
419,Aaron Hill,1.0%,No
420,Vic Wertz,1.0%,No
421,Marlon Byrd,1.0%,No
422,Andre Thornton,1.0%,No
423,Mike Greenwell,1.0%,No
424,Nick Swisher,1.0%,No
425,Butch Wynegar,1.0%,No
426,Ron Hunt,1.0%,No
427,Aubrey Huff,1.0%,No
428,Chase Headley,1.0%,No
429,Carlos González,0.9%,No
430,Jason Bay,0.9%,No
431,Mike Bordick,0.9%,No
432,Chris Chambliss,0.9%,No
433,Mike Scioscia,0.8%,No
434,Erick Aybar,0.8%,No
435,Juan Uribe,0.8%,No
436,Delino DeShields,0.8%,No
437,Shannon Stewart,0.8%,No
438,Clete Boyer,0.8%,No
439,Jason Varitek,0.8%,No
440,Melky Cabrera,0.8%,No
441,Matty Alou,0.8%,No
442,Greg Gagne,0.7%,No
443,Ray Boone,0.7%,No
444,Mark Grudzielanek,0.7%,No
445,Alexei Ramírez,0.7%,No
446,Joe Rudi,0.7%,No
447,Roy McMillan,0.7%,No
448,Michael Bourn,0.7%,No
449,Elmer Valo,0.7%,No
450,George Bell,0.7%,No
451,Royce Clayton,0.7%,No
452,Davey Johnson,0.7%,No
453,Tommy Davis,0.7%,No
454,John Roseboro,0.7%,No
455,Freddie Patek,0.7%,No
456,Bill Buckner,0.7%,No
457,Rondell White,0.7%,No
458,Jason Thompson,0.7%,No
459,Ramón Hernández,0.7%,No
460,Mike Sweeney,0.6%,No
461,Terry Puhl,0.6%,No
462,Chico Carrasquel,0.6%,No
463,Hank Sauer,0.6%,No
464,Ryan Howard,0.6%,No
